PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,HOA/MONTH
Single Family Residential,Overland Park,66213,475000,4,2.5,Nottingham Forest,2682,17557,,177,50
Single Family Residential,Overland Park,66013,820000,5,4,Coventry Valley,3623,11921,2025,226,89
Single Family Residential,Overland Park,66221,805000,4,4.5,Wellington Park Carriage Hills,3812,12723,1995,211,69
Single Family Residential,Overland Park,66223,490000,4,3.5,Sylvan Lake,3218,10018,1993,152,
Single Family Residential,Overland Park,66013,527775,5,3,Southpointe,2714,7840,2024,194,150
Single Family Residential,Overland Park,66013,461212,3,2,Southpointe,1488,8712,2024,310,150
Townhouse,Overland Park,66223,391400,3,3.5,Brittany Highlands,1774,9036,1991,221,
Townhouse,Leawood,66209,525000,3,2.5,The Village of Deer Creek,2454,2838,2003,214,305
Condo/Co-op,Overland Park,66212,245000,2,2.5,Pinebrooke,2070,,1972,118,871
Single Family Residential,Overland Park,66221,675000,4,4.5,Wilshire South,4059,10065,1999,166,71
Single Family Residential,Overland Park,66223,600000,4,3.5,,4010,10890,1992,150,84
Single Family Residential,Overland Park,66221,821768,4,3,Solera Reserve,3299,9221,2023,249,250
Single Family Residential,Overland Park,66207,450000,5,3,Nall Hills,2472,12805,1956,182,21
Single Family Residential,Overland Park,66221,807955,3,3,Solera Reserve,2885,9144,2023,280,250
Single Family Residential,Overland Park,66209,899950,4,5,Turnberry,5384,15774,1994,167,83
Single Family Residential,Overland Park,66212,319900,3,1.5,Overland Orchard,1576,14167,1952,203,
Single Family Residential,Overland Park,66221,785000,5,5.5,Polo Fields,4092,14374,2013,192,
Single Family Residential,Overland Park,66212,265000,3,1.5,Regency Park,1405,8817,1961,189,17
Single Family Residential,Overland Park,66223,400000,4,2.5,Willow Bend,2240,8346,1995,179,
Single Family Residential,Overland Park,66085,662485,4,3.5,Southern Meadows,2780,12566,2025,238,100
Single Family Residential,Overland Park,66221,800000,5,5,Wilshire Farms,4246,10890,2005,188,
Single Family Residential,Overland Park,66210,475000,4,3.5,Park Crossing,2877,11245,1994,165,63
Single Family Residential,Overland Park,66213,485000,4,3,Bedford Downs,3591,11634,1990,135,40
Single Family Residential,Overland Park,66204,225000,2,1,Santa Fe Vista,768,10860,1948,293,
Single Family Residential,Overland Park,66013,456830,3,2,Southpointe,1518,10454,2024,301,150
Single Family Residential,Overland Park,66013,514425,5,3,Southpointe,2468,9583,2024,208,71
Single Family Residential,Overland Park,66221,729000,4,3,Solera Reserve,2991,9092,2018,244,250
Single Family Residential,Overland Park,66223,475000,4,3.5,Green Meadows,2391,9583,1995,199,38
Single Family Residential,Stilwell,66085,849000,4,3,Wyngate,3798,16026,2009,224,100
Single Family Residential,Overland Park,66221,720000,4,4.5,Nottingham Forest South,4692,14852,1990,153,84
Single Family Residential,Olathe,66062,725000,4,3.5,Highlands of Kensington,2987,16988,2012,243,58
Single Family Residential,Overland Park,66212,380000,4,2,Woodstock,2200,8712,1966,173,
Single Family Residential,Overland Park,66209,749950,4,4.5,Harwycke,4620,14065,1988,162,89
Single Family Residential,Overland Park,66221,700000,4,3.5,Switzer Lake Estates,4355,82764,1988,161,67
Single Family Residential,Overland Park,66223,615000,4,4.5,Shadow Brook,3904,9563,2001,158,84
Single Family Residential,Overland Park,66212,310000,3,2,Tomahawk Ridge,1646,11025,1971,188,
Townhouse,Leawood,66209,429900,4,3.5,Nottingham Down,2323,16170,1987,185,125
Single Family Residential,Overland Park,66213,675000,4,4.5,Fontainebleau,5380,17424,1993,125,41
Single Family Residential,Overland Park,66213,450000,4,3,Bedford Downs,3048,9583,1995,148,40
Single Family Residential,Overland Park,66223,590000,4,3,Heatherwood,3103,8842,2001,190,150
Single Family Residential,Overland Park,66213,825000,4,4,Melrose Reserve,3982,9961,2017,207,200
Single Family Residential,Overland Park,66214,399999,3,2.5,Westbrooke,1924,18214,1961,208,
Single Family Residential,Overland Park,66212,385000,4,2.5,Windgates,1806,9583,1966,213,
Townhouse,Overland Park,66210,285000,3,3,Executive Hills,2142,810,1983,133,378
Single Family Residential,Overland Park,66212,300000,3,2,Fern Valley,1508,9799,1955,199,
Single Family Residential,Overland Park,66204,285000,2,1,Glennwood Addition,882,11356,1951,323,
Single Family Residential,Overland Park,66204,399000,3,3.5,,2875,29620,1951,139,
Single Family Residential,Overland Park,66212,529000,4,2.5,Wycliff,2320,17299,1969,228,
Single Family Residential,Overland Park,66221,679900,5,4.5,Forest Glen by the Lake,4026,9147,2005,169,67
Townhouse,Overland Park,66210,275000,3,2,Quivira Falls,1849,2110,1978,149,
Single Family Residential,Prairie Village,66208,399950,3,2,Prairie Village,1677,8124,1951,238,
Single Family Residential,Overland Park,66204,265000,2,1,Santa Fe Vista,988,9480,1950,268,
Single Family Residential,Overland Park,66202,325000,4,2.5,Milburn View,1614,8125,1951,201,
Single Family Residential,Overland Park,66221,600000,3,3.5,Willowbrook,2761,5428,1995,217,270
Single Family Residential,Overland Park,66213,499000,4,2.5,Somerset Pointe,3132,12990,1995,159,33
Single Family Residential,Overland Park,66013,420000,3,3,Southpointe,2003,4800,2022,210,71
Single Family Residential,Overland Park,66223,535000,4,2.5,Regency By The Lake,3001,10357,1999,178,46
Single Family Residential,Overland Park,66204,255000,2,1,Prairie View,864,9583,1950,295,
Single Family Residential,Overland Park,66204,449000,3,3,Copley Place,2019,24970,1950,222,
Single Family Residential,Overland Park,66204,354900,4,2,Maple Crest,1425,9148,1953,249,
Single Family Residential,Overland Park,66212,400000,4,3.5,Sylvan Grove,2206,10174,1964,181,
Single Family Residential,Overland Park,66212,500000,4,3.5,Pinehurst Est.,3116,15736,1976,160,0
Single Family Residential,Overland Park,66212,385000,3,2,Westbrooke South,2024,9821,1963,190,
Single Family Residential,Overland Park,66212,469000,5,3,Nall Hills,2148,9907,1963,218,21
Single Family Residential,Overland Park,66224,515000,4,3.5,Hampton Place,3524,9583,1997,146,53
Single Family Residential,Overland Park,66223,535000,4,3.5,Regency By The Lake,2802,11489,1997,191,46
Single Family Residential,Overland Park,66224,595000,4,3.5,Hampton Place,3702,10018,2001,161,53
Single Family Residential,Overland Park,66212,375000,3,2.5,Sylvan Grove,1506,9371,1962,249,
Single Family Residential,Overland Park,66212,345000,4,2,Glenwood Heights,1218,11288,1956,283,
Single Family Residential,Overland Park,66212,335000,3,1.5,Morningview,1570,9760,1963,213,19
Townhouse,Leawood,66209,699950,3,3.5,Patrician Woods,2361,13950,1986,296,350
Single Family Residential,Overland Park,66221,875000,5,5,Mills Farm,3643,14810,2018,240,151
Single Family Residential,Overland Park,66204,80000,3,1,Antioch Acres,960,15681,1951,83,
Single Family Residential,Overland Park,66204,360000,4,3,Maple Crest View,1935,9784,1955,186,
Single Family Residential,Overland Park,66213,529500,4,3.5,Lancaster Weybury,3186,8303,1996,166,52
Condo/Co-op,Overland Park,66212,235000,2,1.5,Pinebrooke,1345,43350,1970,175,762
Single Family Residential,Overland Park,66207,400000,3,3,Nall Hills,2066,10158,1962,194,
Single Family Residential,Overland Park,66210,475000,3,3,Villas of Tamarind,2624,9797,1992,181,155
Townhouse,Overland Park,66212,260000,2,2.5,Indian Creek Woods,1584,871,1978,164,380
Single Family Residential,Lenexa,66215,390000,4,2.5,Century Estates III,1904,8276,1978,205,
Single Family Residential,Overland Park,66215,355000,4,2,Oak Park,1900,9669,1976,187,25
Townhouse,Overland Park,66211,370000,3,2.5,The Tuileries,2368,29680,1974,156,738
Single Family Residential,Overland Park,66207,425000,3,2,Nall Hills,1500,10018,1959,283,21
Single Family Residential,Leawood,66209,650000,4,3.5,Carriage Crossing,3772,19166,1993,172,64
Single Family Residential,Overland Park,66209,525000,3,2.5,Hawthorne Valley,3236,12632,1991,162,52
Single Family Residential,Overland Park,66212,289000,3,2,Westbrooke,1892,8653,1959,153,
Single Family Residential,Overland Park,66223,915000,5,5.5,Lionsgate- By the Green,4676,14132,2004,196,136
Condo/Co-op,Overland Park,66210,195000,2,2,Marbella,1043,1043,1985,187,408
Single Family Residential,Overland Park,66223,625000,4,3,Heatherwood,3171,10454,2000,197,150
Townhouse,Overland Park,66210,235000,2,2,College Park Vi,1501,10560,1987,157,298
Single Family Residential,Overland Park,66204,225000,3,1,Overland Park,1920,24552,1951,117,
Single Family Residential,Overland Park,66213,590000,4,4,Lancaster Brandon Place,3704,8959,1998,159,50
Single Family Residential,Overland Park,66212,350000,3,2.5,Cherokee Hills,1360,8516,1956,257,
Single Family Residential,Overland Park,66212,410000,4,2.5,Tomahawk Ridge,1983,9151,1958,207,
Townhouse,Overland Park,66213,370000,3,3,Stone Haven,1781,6531,1985,208,154
Single Family Residential,Overland Park,66221,599000,4,4,Wellington Park Hunters Glen,3461,9507,1994,173,69
Townhouse,Overland Park,66210,329900,3,2.5,Indian Creek Park Estates,1920,7811,1984,172,87
Single Family Residential,Overland Park,66210,499000,4,2.5,Cobblestone Park,2706,6098,1992,184,40
Single Family Residential,Overland Park,66210,365000,4,3.5,Forest Oaks,3852,10317,1986,95,40
Single Family Residential,Overland Park,66085,800000,6,5.5,Wyngate,4013,12231,2017,199,100
Single Family Residential,Lenexa,66215,425000,3,2.5,Oak Park,3221,9003,1972,132,25
Single Family Residential,Overland Park,66213,650000,4,4.5,Lancaster Parkbridge,3908,15950,1995,166,600
Single Family Residential,Overland Park,66213,530000,4,4,Kensington Manor,4055,9845,1988,131,50
Single Family Residential,Overland Park,66210,425000,4,2.5,Highcroft,2780,12674,1989,153,6
Single Family Residential,Overland Park,66221,850000,4,4.5,Wilshire by the Lake,3359,10454,2015,253,150
Single Family Residential,Overland Park,66223,500000,4,3,Creekside North,3294,11920,1992,152,545
Condo/Co-op,Overland Park,66210,179950,2,2,Marbella,1091,1091,1985,165,408
Single Family Residential,Overland Park,66224,489900,4,3.5,Hampton Place,3015,9802,1997,162,
Single Family Residential,Overland Park,66212,389900,3,3,Cherokee Hills,2033,9987,1960,192,
Single Family Residential,Kansas City,66106,125000,3,1,Kinney Hgts,1092,11761,1964,114,
Single Family Residential,Overland Park,66207,845000,4,2.5,Leawood Estates,2907,16660,1966,291,33
Single Family Residential,Overland Park,66223,540000,4,3.5,Kingsridge,2843,24829,1998,190,50
Single Family Residential,Overland Park,66062,785000,4,4.5,Deer Valley,4054,17244,2006,194,88
Single Family Residential,Overland Park,66212,350000,4,2,Westbrooke,1831,10001,1957,191,
Single Family Residential,Overland Park,66213,510000,4,2.5,Kensington Manor,3319,13979,1989,154,50
Single Family Residential,Overland Park,66204,300000,3,1.5,Overland Height,1804,13412,1948,166,
Single Family Residential,Lenexa,66215,400000,4,2.5,Oak Park,3024,8712,1974,132,25
Single Family Residential,Overland Park,66204,315000,3,1,Mission Mooreland,1140,9825,1950,276,
Townhouse,Overland Park,66213,375000,3,2.5,Stone Haven,1697,4791,1987,221,154
Single Family Residential,Overland Park,66204,308000,4,2,Holmes Crest,1330,12196,,232,
Single Family Residential,Overland Park,66213,535000,4,3.5,St. Andrews Highlands,2982,8330,1995,179,
Single Family Residential,Overland Park,66212,750000,5,4,Pinehurst,3220,14821,1965,233,
Single Family Residential,Overland Park,66221,689900,4,4.5,Wellington Park Hunters Glen,4127,9201,1994,167,64
Single Family Residential,Olathe,66062,699900,4,4,Highlands of Kensington,3059,12035,2014,229,58
Single Family Residential,Overland Park,66212,350000,3,2,Spring Valley,1600,11075,1963,219,
Single Family Residential,Overland Park,66204,320000,3,2,Metcalf 3rd Addn,1092,16552,1953,293,
Townhouse,Overland Park,66210,335000,2,3,Indian Creek Park Estates,1874,13352,1985,179,87
Single Family Residential,Overland Park,66221,975000,4,5.5,Summerwood,5234,11761,2017,186,
Single Family Residential,Overland Park,66210,399950,4,3,Broxton Square,2958,12822,1979,135,
Single Family Residential,Overland Park,66213,625000,4,2.5,Amber Meadows,2468,11115,1991,253,46
Single Family Residential,Overland Park,66213,525000,4,3.5,Bretton,3139,7414,1999,167,
Single Family Residential,Overland Park,66210,465000,4,3.5,Shannon Valley,2497,14810,1986,186,27
Single Family Residential,Overland Park,66210,475000,4,2.5,Cobblestone Park,3000,7285,1994,158,
Single Family Residential,Overland Park,66215,365000,3,2,Summerfield,1404,9583,1983,260,25
Single Family Residential,Overland Park,66207,625000,4,3,Empire Estates,2381,13110,1962,262,
Single Family Residential,Overland Park,66223,425000,4,2.5,Kingston By The Park,2507,8328,1993,170,54
Single Family Residential,Overland Park,66221,740000,4,4.5,Wellington Park Carriage Place,4215,11809,1994,176,69
Single Family Residential,Leawood,66209,589000,3,2.5,Hawthorne Place,2237,9086,1990,263,
Single Family Residential,Kansas City,66106,160000,3,2,Kinney Hgts,1184,15246,1940,135,
Single Family Residential,Overland Park,66213,795000,4,4.5,Nottingham Forest,5398,15681,1986,147,83
Single Family Residential,Overland Park,66207,599950,4,3,Bel Air Heights,3010,12499,1962,199,23
Single Family Residential,Overland Park,66210,350000,3,2.5,Cross Creek,2190,10454,1986,160,
Single Family Residential,Overland Park,66212,339000,4,2,Sylvan Grove,1548,9750,1961,219,
Single Family Residential,Overland Park,66204,470000,4,3,Milburn Estates,3046,12035,1965,154,
Single Family Residential,Overland Park,66223,485000,4,2.5,Creekside,2291,14905,1989,212,38
Single Family Residential,Overland Park,66207,275000,3,2.5,Bel Air Heights,1682,13182,1962,163,
Single Family Residential,Overland Park,66214,300000,2,2,Montrachet,1190,2405,1986,252,345
Single Family Residential,Overland Park,66207,480000,4,3.5,Kenilworth,2114,11403,1967,227,
Single Family Residential,Overland Park,66213,579900,4,3.5,Fairway Woods,2964,10687,1995,196,77
Single Family Residential,Overland Park,66213,730000,5,4.5,Fairfield Manor,4676,11325,2002,156,
Single Family Residential,Overland Park,66223,365000,2,2.5,Treesmill,1414,8993,1993,258,165
Single Family Residential,Leawood,66206,725000,5,3.5,Leawood Estates,3139,17995,1959,231,33
Single Family Residential,Overland Park,66223,575000,3,3,Heatherwood,2248,14824,2000,256,150
Single Family Residential,Overland Park,66210,800000,4,3.5,Grand Oaks,4013,16313,1984,199,13
Condo/Co-op,Overland Park,66210,100000,2,1,The Crossings,859,1138,1983,116,300
Single Family Residential,Overland Park,66209,350000,2,2.5,Stoneybrook,1299,3703,1987,269,287
Single Family Residential,Overland Park,66209,700000,4,4,Deer Creek Park,3508,12853,1998,200,50
Single Family Residential,Overland Park,66209,845000,4,3,Linden Place,3206,5111,,264,265
Single Family Residential,Overland Park,66223,615000,4,4.5,Shadow Brook,3684,12632,2000,167,
Single Family Residential,Overland Park,66202,335000,3,2,Santa Fe Trail Lands,1750,9171,1953,191,
Townhouse,Overland Park,66223,480000,3,2.5,Holly Ridge,2036,2752,2013,236,350
Single Family Residential,Overland Park,66223,450000,2,3,Nottington,2355,11998,1992,191,84
Single Family Residential,Overland Park,66210,449900,4,2.5,Oak Tree Meadow,2500,9170,1979,180,50
Single Family Residential,Overland Park,66212,700000,5,3.5,Sylvan Grove,2700,13068,1968,259,
Multi-Family (2-4 Unit),Overland Park,66223,525000,6,3,Blue Valley Meadows,2434,8683,1985,216,
Single Family Residential,Overland Park,66215,285000,3,2,Pepper Pointe,1673,8999,1983,170,75
Single Family Residential,Overland Park,66085,615000,3,3,The Wilderness,2511,10454,2002,245,83
Single Family Residential,Overland Park,66213,800000,4,5,Fairfield Manor,4206,11990,2004,190,63
Single Family Residential,Overland Park,66221,625000,4,4,Forest Glen by the Lake,4518,10590,2001,138,62
Single Family Residential,Overland Park,66221,585000,4,4,Amesbury Lake Windsor Ridge,3576,8310,1999,164,54
Single Family Residential,Overland Park,66212,359000,4,3,Westbrooke,1935,9963,1960,186,
Single Family Residential,Overland Park,66212,389900,4,3.5,Woodstock,3606,15470,1968,108,
Single Family Residential,Overland Park,66210,550000,4,3,Shannon Valley,3191,9230,1980,172,29
Single Family Residential,Overland Park,66213,725000,6,4.5,Nottingham Forest,4546,17804,1983,159,83
